0;1;3;22;11;1;1;1;3;4;6;6;27;19;5;5;3;3;2;3;1;5;4;2;2;1;8;10;1;8;8;1;1;5;3;8;3;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0
1;1;3;21;1;1;3;1;2;5;3;1;27;19;5;5;3;3;2;4;3;2;3;2;2;1;6;4;9;10;7;1;10;7;8;5;4;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0
2;1;3;24;11;1;4;1;3;3;1;5;27;19;5;5;3;2;2;3;2;3;3;2;1;1;8;10;1;10;9;7;6;7;3;7;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1
3;1;3;26;2;1;1;4;3;5;4;1;27;28;5;5;2;3;2;3;2;2;3;1;2;3;6;9;1;5;7;7;7;8;7;5;9;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
4;1;3;23;2;1;4;1;3;5;4;2;27;19;5;5;3;4;2;3;3;3;4;2;2;2;6;10;1;8;5;7;2;6;3;5;5;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
5;1;3;25;11;2;4;1;4;3;3;6;1;1;5;3;2;4;2;2;2;3;4;1;1;3;6;10;6;8;8;8;5;8;7;7;7;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
6;1;3;21;11;1;4;4;3;5;4;4;29;19;5;5;3;2;1;3;2;2;5;2;1;3;8;7;1;4;8;6;6;8;1;8;9;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1
7;1;3;22;11;2;4;4;3;5;6;6;27;19;5;5;2;3;2;3;1;2;4;1;2;3;6;10;1;6;7;8;6;3;3;7;5;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0
8;1;3;25;11;1;4;1;3;5;6;6;30;1;1;3;2;4;2;1;1;3;3;1;3;3;8;10;1;10;10;10;7;10;3;10;10;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1
9;1;2;19;11;1;1;1;3;5;4;1;27;19;5;5;2;2;2;2;1;2;4;2;1;3;7;8;4;1;7;8;4;7;8;6;7;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
10;10;2;20;2;1;4;2;2;5;6;6;27;19;5;5;3;2;2;3;2;3;3;2;2;2;6;8;1;10;7;6;4;6;6;8;8;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0
11;2;2;20;3;4;4;4;3;1;1;2;27;19;4;1;2;1;2;3;2;2;4;1;1;3;8;10;3;9;8;8;8;9;5;10;10;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
12;10;2;23;11;2;1;4;3;5;2;2;27;19;4;5;3;3;2;3;3;3;2;3;1;2;6;8;6;10;1;7;5;5;4;6;5;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;1;1;0;0;0;1;1;0;0;0;0;1;1
13;2;3;22;6;1;1;1;2;4;6;6;30;18;5;5;2;2;2;3;2;2;4;2;2;2;5;5;5;5;5;5;5;5;5;5;5;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0
14;2;2;20;11;3;4;2;2;5;6;6;27;19;5;5;2;3;2;3;2;2;3;3;1;1;7;5;1;10;8;5;7;9;5;9;8;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0
15;2;2;22;3;1;2;1;3;5;4;1;27;19;5;5;2;2;1;3;2;5;3;2;1;3;8;9;2;9;7;9;6;7;8;10;8;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1
16;1;2;20;11;2;4;1;3;1;6;6;22;21;5;5;3;2;2;2;2;2;4;1;1;2;7;7;8;4;8;8;3;7;9;5;7;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0
17;2;2;25;2;1;1;4;4;4;3;1;30;19;5;5;2;4;1;2;2;3;3;1;2;2;5;10;2;5;6;6;1;4;5;6;6;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1
18;2;2;39;11;1;4;4;4;4;1;3;27;19;5;5;3;4;2;3;3;2;3;1;2;2;7;10;1;10;8;8;8;10;5;10;10;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1
19;2;3;24;11;5;4;2;2;5;2;3;27;19;5;5;3;1;2;3;3;2;2;1;1;1;7;6;1;9;4;8;4;4;3;4;7;0;1;0;0;0;1;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;1;0;1
20;2;3;20;2;5;4;2;3;5;6;6;4;29;5;5;1;3;2;2;1;2;3;1;2;3;8;10;1;10;6;10;10;10;1;9;9;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
21;2;3;34;1;1;4;4;4;5;2;1;27;18;5;5;3;3;2;4;3;3;3;2;1;2;7;6;2;10;6;5;10;10;10;8;5;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;0;1;0;1
22;2;3;22;11;1;2;4;3;3;1;2;30;19;5;5;2;3;2;3;2;3;2;2;2;2;7;10;1;10;5;8;7;8;3;8;9;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1
23;2;2;20;3;5;4;4;3;5;6;1;30;19;5;5;3;3;2;2;2;3;5;1;2;3;7;10;1;5;8;8;4;6;5;7;4;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0
24;2;3;20;11;1;1;1;3;5;4;2;27;19;5;5;3;4;1;4;1;2;4;1;4;2;8;8;8;8;8;8;8;8;8;8;8;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1
25;2;3;28;2;1;4;2;4;4;3;2;30;16;5;5;3;1;1;3;2;3;3;3;2;3;7;10;1;1;8;5;2;10;10;9;10;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
26;2;3;26;1;1;1;4;2;5;2;1;27;19;5;5;5;4;2;4;4;3;2;3;3;1;7;1;10;1;8;1;1;1;10;1;5;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;0;1;0;1
27;4;2;20;11;2;1;4;3;5;6;6;27;19;5;5;3;4;2;4;1;3;3;1;1;3;9;10;1;8;10;8;9;10;3;8;6;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
28;4;2;18;11;3;1;4;3;5;6;6;27;19;5;5;2;4;2;3;2;4;4;1;1;2;8;10;3;6;8;8;6;8;2;8;7;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0
29;2;3;26;6;1;4;1;3;4;1;4;30;1;3;5;3;3;2;4;2;3;2;2;1;2;6;7;3;8;6;3;4;3;5;7;6;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1
30;4;2;18;11;2;4;4;3;5;6;6;27;19;5;5;3;3;2;4;1;4;4;2;2;2;8;8;2;10;9;6;5;8;8;10;8;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
31;1;3;21;11;3;4;2;2;5;6;6;30;19;5;5;2;3;2;3;2;3;4;2;2;2;8;10;1;6;7;7;6;5;5;8;7;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0
32;2;3;23;5;3;3;1;4;5;6;6;27;19;5;5;2;3;1;3;2;3;4;1;2;3;9;10;1;6;9;7;5;8;8;10;10;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1
